Run,Raw_Material_USD_kWh,CVD_Coating_USD_kWh,Cell_Assembly_USD_kWh,BOS_USD_kWh,Overhead_USD_kWh,Cumulative_Production_GWh,Learning_Rate,LR_Multiplier,Total_System_Cost_USD_kWh
2222,40.2,23.07,29.01,17.08,19.9,55.82,0.1652,0.8551,110.54
2223,35.48,51.52,23.32,19.79,14.96,72.17,0.1655,0.8458,122.69
2224,44.63,38.0,19.82,25.65,12.54,89.49,0.118,0.8846,124.41
2225,39.06,37.22,17.56,19.21,19.15,38.44,0.108,0.9138,120.8
2226,50.02,45.69,26.56,28.88,16.43,8.58,0.1087,0.9466,158.63
2227,47.31,40.37,21.88,24.83,19.03,98.75,0.1267,0.8734,134.01
2228,33.2,86.57,35.14,18.6,16.13,29.55,0.1785,0.8675,164.5
2229,34.5,41.51,25.27,21.45,22.28,67.0,0.1581,0.8552,124.0
2230,47.76,15.4,21.11,21.37,15.82,12.37,0.1591,0.9104,110.58
2231,45.56,28.73,29.41,19.55,16.54,35.69,0.149,0.8834,123.49
2232,31.09,24.11,35.2,21.21,12.84,28.3,0.1605,0.8823,109.8
2233,36.34,42.2,34.03,16.04,17.87,96.37,0.1953,0.8058,118.04
2234,38.77,29.67,20.4,25.05,14.6,11.09,0.1857,0.8995,115.57
2235,39.71,42.77,18.68,20.29,17.11,2.82,0.1036,0.9699,134.37
2236,39.42,26.62,18.53,23.9,19.34,60.1,0.1379,0.8769,112.08
2237,47.19,37.83,28.5,17.98,15.19,46.23,0.1768,0.852,124.98
2238,41.17,28.35,23.54,27.82,17.09,48.94,0.1969,0.8328,114.9
2239,40.65,30.56,21.57,19.07,19.24,43.15,0.1184,0.9026,118.31
2240,33.95,38.31,29.12,16.83,12.04,3.55,0.1622,0.9466,123.29
2241,41.34,41.92,20.6,11.69,15.43,25.75,0.1898,0.8645,113.25
2242,39.77,61.98,30.08,20.65,10.12,86.73,0.1375,0.8664,140.88
2243,36.16,55.03,19.98,23.04,14.57,72.92,0.1372,0.8718,129.7
2244,30.79,51.04,23.26,23.48,17.82,76.3,0.1102,0.8959,131.16
2245,50.22,41.6,31.94,20.15,9.49,92.25,0.1342,0.8679,133.12
2246,54.24,28.79,25.62,15.89,12.44,36.59,0.1935,0.8476,116.11
2247,41.96,44.89,19.84,26.46,11.22,30.08,0.1813,0.8647,124.83
2248,51.48,56.43,32.57,18.97,17.54,83.91,0.1234,0.881,155.93
2249,41.84,56.44,30.67,12.0,16.5,91.47,0.1962,0.8072,127.09
2250,28.91,35.23,32.19,19.4,18.5,87.84,0.1105,0.8923,119.77
2251,42.4,30.5,16.46,12.05,17.86,67.43,0.1993,0.8171,97.46
2252,37.28,48.05,26.5,10.03,13.39,8.09,0.1462,0.93,125.78
2253,43.81,13.21,21.48,18.04,14.56,23.42,0.1233,0.9144,101.59
2254,52.57,66.29,21.97,15.61,13.87,93.02,0.1193,0.8823,150.27
2255,35.95,57.2,28.21,17.53,19.34,69.52,0.1732,0.8399,132.9
2256,43.1,31.29,16.25,19.52,16.61,46.7,0.1614,0.8646,109.61
2257,46.89,30.66,25.79,15.07,17.92,67.09,0.1967,0.8197,111.75
2258,50.83,80.3,32.67,22.21,17.2,89.93,0.1936,0.8104,164.68
2259,47.89,23.14,25.73,15.87,13.52,71.55,0.1836,0.8292,104.59
2260,31.08,31.52,30.47,17.93,12.27,43.61,0.1263,0.8958,110.43
2261,31.07,70.54,25.6,21.42,16.49,96.4,0.1821,0.8189,135.23
2262,46.12,22.78,20.74,26.53,19.42,71.17,0.173,0.8392,113.8
2263,36.92,37.34,34.65,17.75,15.99,80.08,0.1896,0.8191,116.85
2264,32.13,31.81,24.04,17.76,11.44,16.46,0.1464,0.9091,106.53
2265,49.51,79.8,18.7,23.1,16.7,64.17,0.1226,0.8888,166.92
2266,37.04,28.17,18.06,19.82,13.44,83.02,0.1848,0.8222,95.81
2267,53.04,20.34,24.07,20.02,9.74,63.11,0.1614,0.8542,108.67
2268,36.48,38.56,29.37,21.04,19.84,9.09,0.1481,0.9256,134.48
2269,34.03,28.17,24.95,17.24,12.53,8.1,0.1626,0.922,107.8
2270,39.49,44.44,17.51,20.71,18.87,35.29,0.1898,0.852,120.15
2271,46.07,41.63,25.42,28.46,19.14,58.35,0.1131,0.8997,144.59
2272,42.34,21.92,30.45,19.45,16.22,80.61,0.1199,0.8854,115.44
2273,55.13,73.06,24.36,28.28,12.44,75.05,0.1121,0.8946,172.91
2274,41.37,27.41,32.28,13.89,18.54,3.78,0.1593,0.9459,126.27
2275,38.59,28.61,20.82,18.97,12.58,29.33,0.1176,0.9129,109.15
2276,52.07,44.1,29.49,19.97,14.86,84.25,0.1069,0.8968,143.93
2277,44.76,67.26,27.42,14.41,14.27,41.98,0.1602,0.8692,146.13
2278,36.69,20.93,27.64,18.79,13.85,3.36,0.1268,0.9595,113.12
2279,41.91,29.09,27.23,17.1,15.73,77.46,0.1608,0.8477,111.09
2280,41.75,51.32,23.36,17.06,9.95,57.27,0.1606,0.8582,123.1
2281,38.36,27.83,26.5,20.2,12.95,14.6,0.1274,0.924,116.28
2282,41.46,37.27,22.87,26.48,12.29,49.26,0.1868,0.8411,118.06
2283,29.7,29.66,26.37,22.46,16.64,6.1,0.162,0.931,116.23
2284,37.15,42.66,26.46,23.33,17.12,90.59,0.1608,0.8422,123.57
2285,43.45,21.25,23.83,21.16,14.4,24.35,0.1882,0.8678,107.69
2286,35.77,39.73,24.29,16.35,16.85,83.67,0.193,0.814,108.26
2287,32.87,42.5,17.86,19.3,14.8,75.94,0.1822,0.8282,105.45
2288,39.67,45.96,25.26,20.1,14.13,47.5,0.1575,0.8672,125.86
2289,36.22,28.38,27.95,19.03,15.97,17.17,0.1536,0.9033,115.22
2290,29.42,62.46,26.21,18.83,15.64,89.32,0.1324,0.8705,132.81
2291,29.62,15.11,25.71,22.15,11.82,21.94,0.1143,0.9223,96.3
2292,43.26,26.84,17.82,23.87,17.81,19.04,0.177,0.8848,114.67
2293,40.72,93.03,26.91,25.5,10.7,22.73,0.1852,0.8727,171.8
2294,42.51,35.41,18.85,19.7,11.07,29.88,0.1387,0.8967,114.37
2295,37.61,54.89,21.24,25.38,11.92,39.56,0.1878,0.849,128.24
2296,27.89,37.76,19.23,19.56,14.94,99.08,0.1716,0.8284,98.89
2297,33.01,70.15,19.85,20.49,19.7,66.66,0.1909,0.8253,134.69
2298,37.42,32.41,25.71,21.64,18.86,9.16,0.1837,0.9075,123.47
2299,43.49,38.28,18.23,23.86,12.26,8.68,0.1028,0.9493,129.21
2300,26.01,49.66,18.84,27.91,14.68,7.0,0.1257,0.9432,129.32
2301,21.51,64.62,32.91,14.92,11.28,46.98,0.1651,0.8612,125.09
2302,51.59,16.73,34.33,18.94,12.92,40.28,0.1817,0.8532,114.77
2303,44.78,43.06,29.97,22.18,20.79,86.8,0.1865,0.8188,131.65
2304,32.99,24.88,23.5,15.6,14.39,39.23,0.176,0.8588,95.64
2305,38.12,34.24,30.7,13.88,18.54,43.95,0.1108,0.9084,123.07
2306,36.63,28.25,27.67,19.27,17.44,63.9,0.1056,0.9043,116.89
2307,42.32,14.28,15.26,16.12,12.96,79.45,0.1635,0.8442,85.21
2308,35.94,53.44,30.8,22.36,12.43,81.22,0.1304,0.8752,135.62
2309,30.81,20.71,18.74,17.23,14.87,73.36,0.1853,0.8266,84.62
2310,43.91,34.04,22.43,22.09,14.59,49.59,0.1731,0.8525,116.85
2311,54.52,33.53,26.51,25.89,17.67,93.92,0.1959,0.8063,127.5
2312,44.24,25.46,26.47,27.82,14.17,42.48,0.1162,0.9048,125.02
2313,40.6,45.19,26.92,21.25,17.65,44.69,0.199,0.8348,126.57
2314,38.29,30.24,30.99,17.02,13.0,85.55,0.1446,0.86,111.39
2315,33.69,26.29,26.35,25.48,15.08,34.67,0.1336,0.8963,113.74
2316,36.74,19.55,25.79,21.04,12.02,39.8,0.1612,0.8702,100.2
2317,43.14,24.17,32.67,21.08,9.89,22.59,0.1872,0.8715,114.13
2318,49.5,41.45,24.6,22.12,12.26,2.75,0.1961,0.9438,141.49
2319,49.86,15.73,24.42,15.75,16.51,73.64,0.1539,0.8559,104.66
2320,41.36,68.48,27.24,15.16,19.1,3.72,0.1415,0.9523,163.17
2321,41.49,32.93,35.0,23.18,14.57,53.06,0.1314,0.8861,130.42
2322,40.42,24.74,21.56,18.36,16.38,97.51,0.1494,0.851,103.36
2323,44.57,44.41,16.42,22.34,14.02,60.49,0.1769,0.8418,119.33
2324,40.38,29.61,24.95,19.91,13.59,3.99,0.1035,0.9639,123.8
2325,40.52,49.97,31.99,24.4,18.33,69.49,0.1748,0.8385,138.51
2326,33.12,22.88,27.92,26.63,18.9,76.69,0.1138,0.8924,115.52
2327,32.93,23.56,22.43,20.79,19.24,33.38,0.1773,0.8638,102.74
2328,34.47,44.42,25.03,23.5,17.52,5.81,0.1081,0.955,138.42
2329,41.92,56.52,20.08,19.98,14.05,30.98,0.1143,0.914,139.43
2330,37.55,37.85,16.09,25.29,13.23,4.35,0.1703,0.938,121.95
2331,60.66,38.38,23.58,14.02,10.01,33.58,0.1635,0.8742,128.2
2332,43.1,25.07,20.02,22.45,20.8,79.24,0.1274,0.8787,115.51
2333,52.57,28.48,23.44,18.51,10.53,91.2,0.1519,0.8508,113.6
2334,51.88,26.91,17.56,22.53,15.12,42.06,0.181,0.8521,114.18
2335,43.4,58.76,33.61,19.59,10.2,91.63,0.1488,0.8536,141.32
2336,39.67,61.05,29.74,21.67,18.21,86.01,0.1368,0.8674,147.75
2337,32.81,43.1,22.34,18.6,16.15,46.26,0.1387,0.8839,117.55
2338,35.19,78.23,25.23,8.67,18.96,89.61,0.1179,0.8846,147.09
2339,46.72,44.82,30.31,24.91,15.64,51.76,0.1772,0.8474,137.61
2340,42.16,56.17,26.54,12.38,17.1,68.43,0.1477,0.864,133.36
2341,34.86,32.07,23.26,15.84,16.06,1.68,0.1402,0.97,118.42
2342,38.34,32.86,27.36,21.9,18.81,64.23,0.1528,0.8614,119.97
2343,42.64,32.88,23.68,21.94,16.06,65.97,0.1645,0.8498,116.59
2344,40.2,24.07,24.28,23.99,17.97,32.36,0.1321,0.8994,117.38
2345,38.09,29.34,33.74,21.82,21.06,82.94,0.1697,0.8368,120.54
2346,39.56,39.92,27.14,24.81,12.59,25.32,0.1124,0.9202,132.52
2347,20.68,27.54,24.61,23.22,12.8,58.29,0.1803,0.8402,91.45
2348,40.15,43.72,20.02,13.48,18.73,51.06,0.1281,0.89,121.14
2349,31.53,26.03,27.71,20.64,15.74,47.01,0.1191,0.8999,109.47
2350,42.91,25.55,30.18,17.67,15.82,3.09,0.1982,0.9394,124.12
2351,41.07,35.18,30.77,27.12,16.98,96.81,0.1873,0.8137,122.96
2352,45.99,15.46,37.83,17.5,15.72,74.62,0.166,0.844,111.83
2353,46.07,53.89,20.1,23.22,10.24,3.5,0.1553,0.9493,145.73
2354,53.76,46.42,14.99,14.13,15.78,37.47,0.1306,0.8965,130.06
2355,24.13,48.51,29.99,19.38,11.72,33.95,0.1634,0.8739,116.87
2356,38.99,47.13,19.0,20.47,16.63,34.83,0.1282,0.9004,128.05
2357,23.68,33.43,19.21,13.78,16.4,54.43,0.1447,0.8738,93.06
2358,43.93,38.59,27.79,18.74,15.97,2.54,0.1569,0.957,138.77
2359,38.66,40.91,26.57,21.9,14.64,19.67,0.1238,0.9186,131.06
2360,36.23,19.59,21.8,24.05,21.29,17.04,0.1611,0.8988,110.52
2361,42.14,37.94,20.89,23.61,21.74,26.41,0.1243,0.9106,133.24
2362,31.58,30.1,25.16,20.53,9.63,85.2,0.1149,0.8888,103.98
2363,54.78,73.27,22.6,21.8,13.58,5.21,0.1802,0.9286,172.74
2364,38.04,32.42,25.62,15.57,20.16,29.59,0.1689,0.8745,115.27
2365,40.61,33.28,20.0,13.2,18.04,91.29,0.1283,0.8739,109.36
2366,38.97,21.48,20.61,19.98,14.2,82.95,0.1733,0.8333,96.03
2367,47.38,29.93,17.27,14.66,18.64,60.9,0.1187,0.8937,114.28
2368,30.38,15.02,26.83,11.07,12.67,26.0,0.1734,0.8759,84.06
2369,46.63,73.63,21.76,18.82,12.88,66.02,0.1008,0.9079,157.72
2370,35.85,44.2,28.64,18.73,15.04,80.89,0.1017,0.9027,128.62
2371,35.92,30.22,13.99,16.76,16.49,34.11,0.1078,0.9167,103.95
2372,47.04,42.82,18.07,21.49,16.34,6.35,0.1444,0.9374,136.64
2373,37.85,23.83,24.13,22.09,15.82,98.86,0.118,0.882,109.13
2374,44.91,32.55,21.61,21.69,15.48,37.04,0.1755,0.8613,117.35
2375,45.06,22.47,19.6,19.03,14.49,84.65,0.1963,0.8103,97.75
2376,37.21,18.97,23.6,18.27,13.82,20.51,0.1467,0.9022,100.94
2377,41.86,47.52,23.57,15.1,15.01,85.69,0.1595,0.8455,120.95
2378,36.13,33.56,29.35,19.63,16.0,93.05,0.1339,0.8679,116.88
2379,39.84,17.53,26.33,22.91,12.61,61.13,0.1417,0.873,104.08
2380,43.79,25.13,30.63,19.42,10.91,82.22,0.1627,0.8438,109.6
2381,32.35,59.0,32.68,20.44,15.27,88.17,0.1537,0.8501,135.79
2382,43.52,26.2,21.83,20.93,15.54,83.67,0.131,0.8738,111.87
2383,42.54,44.89,30.51,19.47,13.96,93.78,0.1249,0.8765,132.68
2384,28.09,26.07,29.37,17.27,13.4,26.6,0.1614,0.8837,100.92
2385,34.03,38.58,24.79,19.9,15.51,12.82,0.1914,0.8909,118.33
2386,34.47,43.17,27.63,21.08,14.86,87.7,0.1043,0.8984,126.86
2387,36.44,26.87,25.97,22.21,14.8,98.31,0.1083,0.8919,112.64
2388,32.35,33.18,24.71,28.5,20.9,16.98,0.1208,0.9242,129.05
2389,47.51,39.59,26.29,20.42,9.51,70.79,0.1681,0.844,120.97
2390,48.48,27.89,26.63,21.78,11.16,55.0,0.1078,0.9057,123.13
2391,33.7,32.19,30.1,17.19,14.5,24.34,0.1894,0.867,110.7
2392,30.77,24.0,19.78,20.4,17.13,71.59,0.1385,0.8711,97.62
2393,39.89,36.5,28.81,15.92,12.91,65.88,0.1154,0.8947,119.91
2394,50.64,53.83,19.24,14.43,11.44,42.25,0.1676,0.8629,129.07
2395,57.23,21.98,24.58,15.75,14.47,2.65,0.1978,0.9444,126.55
2396,34.6,26.39,26.31,20.04,14.46,83.14,0.1734,0.8331,101.48
2397,21.8,15.45,12.44,13.21,9.85,23.09,0.1431,0.9011,65.56
2398,28.1,42.95,23.54,21.03,16.27,69.57,0.191,0.8235,108.61
2399,25.74,18.46,27.23,20.23,14.54,99.81,0.1343,0.8655,91.91
2400,43.33,42.79,24.45,14.78,16.53,93.17,0.1174,0.8841,125.44
2401,40.78,43.97,20.41,18.66,16.35,48.97,0.1978,0.832,116.62
2402,41.74,50.37,28.62,18.71,8.26,9.35,0.1723,0.9126,134.78
2403,49.01,40.56,21.04,23.01,14.89,89.42,0.1237,0.879,130.54
2404,53.03,19.14,26.04,16.77,14.67,2.22,0.1614,0.959,124.33
2405,46.74,33.2,24.45,25.19,13.61,32.17,0.1643,0.8751,125.29
2406,45.88,37.85,24.57,18.75,15.84,73.21,0.1403,0.8688,124.14
2407,28.21,43.31,25.84,18.55,13.99,79.06,0.1708,0.8374,108.79
2408,35.93,43.98,21.9,11.92,12.88,58.01,0.1341,0.8813,111.58
2409,51.08,29.5,29.53,7.05,14.26,33.01,0.142,0.8913,117.14
2410,35.6,33.51,20.94,18.25,12.52,12.44,0.1996,0.8874,107.22
2411,48.84,33.65,29.19,13.33,15.29,50.01,0.1979,0.8311,116.6
2412,40.99,21.09,23.14,15.47,13.32,61.52,0.1104,0.9008,102.71
2413,46.27,23.78,15.06,18.81,14.07,97.85,0.1559,0.8445,99.64
2414,33.03,34.01,21.09,24.45,10.53,97.55,0.1211,0.8793,108.25
2415,46.11,25.03,31.54,18.94,11.6,81.91,0.1284,0.8768,116.8
2416,34.88,19.5,30.79,18.72,16.09,12.54,0.1689,0.9044,108.52
2417,41.84,19.06,15.23,17.66,18.78,92.4,0.1747,0.8279,93.2
2418,39.77,46.22,21.3,21.01,15.0,44.52,0.1324,0.8903,127.58
2419,49.54,40.33,15.29,29.55,20.01,9.37,0.1559,0.9208,142.48
2420,46.66,37.14,25.5,22.02,16.69,70.38,0.1658,0.8464,125.27
2421,25.87,30.71,21.61,15.24,14.25,71.91,0.1522,0.8582,92.41
2422,33.52,27.73,26.77,21.02,19.58,11.43,0.1002,0.9452,121.57
2423,34.91,15.62,28.37,16.77,12.6,7.23,0.1108,0.9493,102.78
2424,45.53,44.38,32.56,23.53,16.09,95.93,0.1096,0.8911,144.46
2425,36.04,29.74,33.62,19.58,15.61,67.31,0.1386,0.8729,117.49
2426,31.29,44.88,34.62,21.59,7.81,26.92,0.1437,0.8961,125.62
2427,29.08,24.05,29.65,23.78,14.17,51.85,0.1324,0.8859,106.95
2428,45.82,67.65,24.26,27.95,20.21,64.72,0.157,0.8573,159.36
2429,23.41,37.73,15.9,17.32,13.55,48.01,0.1096,0.9074,97.91
2430,48.44,33.35,21.03,11.69,13.45,21.54,0.199,0.8654,110.73
2431,29.7,23.28,18.21,13.25,16.62,7.74,0.1402,0.934,94.39
2432,36.42,37.39,27.3,18.41,8.28,82.1,0.1045,0.8997,114.98
2433,30.65,44.79,35.42,22.02,17.34,60.94,0.1741,0.844,126.78
2434,32.65,14.28,20.53,19.29,13.8,4.87,0.1218,0.9532,95.84
2435,38.21,33.16,17.58,19.9,11.84,83.8,0.1044,0.8993,108.55
2436,38.91,33.38,19.85,14.83,17.71,49.8,0.1235,0.8946,111.54
2437,27.63,41.93,33.82,20.75,16.29,45.44,0.1026,0.9145,128.42
2438,36.76,17.89,31.31,21.14,19.46,4.17,0.1483,0.9471,119.86
2439,40.83,48.2,30.35,12.08,16.12,91.88,0.1139,0.8879,131.03
2440,43.74,47.0,18.27,27.93,15.47,15.05,0.187,0.8873,135.24
2441,23.66,47.72,29.62,23.22,15.7,64.09,0.173,0.8431,117.96
2442,36.17,26.86,25.28,21.0,14.58,13.97,0.1886,0.8891,110.15
2443,23.57,54.83,29.28,28.69,12.12,71.98,0.1319,0.8772,130.26
2444,35.93,25.28,19.68,17.98,17.01,64.01,0.1858,0.8316,96.37
2445,36.56,15.03,24.87,21.15,14.62,8.2,0.1828,0.9119,102.35
2446,45.03,39.63,22.06,13.93,17.6,18.86,0.1084,0.9296,128.52
2447,47.79,34.15,28.45,26.93,12.99,76.62,0.1641,0.8449,127.0
2448,31.83,57.02,36.01,22.66,12.47,89.43,0.1886,0.8155,130.47
2449,42.35,23.14,18.49,17.2,15.3,37.48,0.1783,0.8587,100.03
2450,45.24,30.48,23.95,17.5,15.16,45.78,0.1711,0.8572,113.42
2451,34.02,29.4,30.19,23.87,15.63,28.41,0.15,0.8898,118.45
2452,46.18,48.26,22.95,26.2,14.6,96.97,0.1933,0.8075,127.76
2453,41.09,22.68,20.88,17.75,18.42,32.66,0.187,0.8572,103.57
2454,37.81,58.25,25.48,23.16,9.65,9.02,0.1623,0.9188,141.81
2455,41.13,26.08,22.99,16.32,13.32,24.57,0.1053,0.9259,110.95
2456,27.36,29.32,33.76,22.4,15.27,48.6,0.1864,0.8419,107.86
2457,41.12,35.59,26.6,20.15,15.27,35.21,0.1916,0.8507,118.01
2458,33.23,23.32,27.5,13.38,14.2,48.52,0.1071,0.9092,101.51
2459,40.23,40.93,20.67,17.93,12.09,66.18,0.159,0.8548,112.71
2460,36.75,38.88,25.69,23.34,6.66,31.97,0.1123,0.9148,120.12
2461,42.31,27.32,24.67,21.9,17.39,46.87,0.1485,0.8753,116.93
2462,49.53,39.23,28.43,15.14,15.51,82.23,0.1331,0.8722,128.96
2463,41.02,39.67,28.32,15.78,17.74,90.56,0.1468,0.856,122.01
2464,48.0,43.98,22.19,13.21,8.96,74.99,0.1397,0.8687,118.44
2465,31.82,54.37,25.65,16.72,12.03,14.77,0.1946,0.8834,124.19
2466,51.47,41.35,29.87,20.73,14.42,66.09,0.1846,0.8314,131.22
2467,31.9,42.49,21.9,22.99,10.46,91.75,0.1586,0.8439,109.49
2468,29.97,22.51,34.53,13.11,13.89,75.75,0.1354,0.8724,99.46
2469,37.8,18.95,19.14,20.54,17.64,9.98,0.1203,0.9374,106.93
2470,36.44,28.06,23.71,15.54,12.52,62.52,0.1316,0.8814,102.48
2471,27.34,39.9,20.51,20.01,18.71,27.23,0.102,0.926,117.11
2472,30.98,41.32,27.55,27.29,12.58,97.41,0.1159,0.8845,123.58
2473,11.25,12.74,25.06,15.14,17.32,44.4,0.1088,0.9098,74.16
2474,29.19,36.9,18.28,20.06,12.57,15.66,0.1625,0.9007,105.38
2475,34.72,54.91,35.42,8.17,19.08,37.27,0.1431,0.8867,135.05
2476,51.92,86.42,22.08,22.18,16.03,27.77,0.1182,0.9138,181.51
2477,45.7,62.29,15.13,18.16,16.33,82.75,0.1583,0.8478,133.62
2478,42.59,28.41,26.18,24.7,12.07,64.39,0.1434,0.8698,116.51
2479,57.32,27.75,25.63,19.21,12.97,28.07,0.1938,0.8582,122.62
2480,25.66,42.61,21.85,22.1,16.23,79.73,0.1587,0.8487,109.01
2481,39.46,48.37,20.8,27.66,16.76,16.13,0.1655,0.8979,137.43
2482,56.28,54.86,24.89,22.5,12.08,21.49,0.1649,0.8885,151.59
2483,35.94,44.45,19.74,22.75,18.83,10.95,0.1303,0.9298,131.77
2484,33.38,21.44,29.27,24.81,15.51,59.47,0.1881,0.8325,103.57
2485,46.54,20.06,28.86,21.51,16.56,5.46,0.1626,0.9341,124.73
2486,35.55,62.74,25.36,16.98,16.03,70.59,0.1975,0.8168,127.96
2487,50.07,32.76,19.21,9.83,10.98,21.25,0.1959,0.868,106.64
2488,46.65,23.76,19.37,17.51,19.61,65.9,0.1587,0.8551,108.52
2489,38.48,22.25,26.8,22.6,19.43,62.07,0.1072,0.9036,117.05
2490,47.84,28.17,27.11,18.29,14.07,13.83,0.1706,0.9001,121.95
2491,38.12,66.21,25.12,19.25,20.92,5.48,0.1008,0.9591,162.68
2492,41.06,31.75,27.65,19.11,15.49,5.01,0.169,0.9342,126.17
2493,44.68,46.74,27.65,17.81,15.59,15.32,0.1475,0.9106,138.84
2494,36.88,40.25,25.11,22.65,14.42,54.36,0.155,0.8649,120.49
2495,52.08,34.19,25.4,22.25,14.51,55.72,0.1893,0.834,123.8
2496,40.56,15.89,16.87,19.52,20.78,31.88,0.1696,0.8714,99.0
2497,42.32,48.92,25.16,22.83,17.55,6.79,0.1464,0.9347,146.54
2498,29.47,26.0,24.22,20.2,15.43,71.69,0.1834,0.8293,95.63
2499,34.84,18.05,20.95,20.54,13.58,17.32,0.1318,0.9168,98.97
2500,41.3,16.72,27.94,18.59,13.61,71.61,0.1894,0.8238,97.35
2501,46.95,44.29,24.68,18.33,14.38,17.69,0.1107,0.9296,138.18
2502,51.3,48.32,26.46,18.11,11.95,12.32,0.1908,0.8927,139.38
2503,31.51,14.03,15.1,19.47,15.66,83.72,0.1612,0.8446,80.88
2504,33.39,28.4,24.11,22.07,19.47,63.35,0.1861,0.8317,106.0
2505,30.16,40.48,28.21,17.97,18.75,7.81,0.1659,0.9216,124.94
2506,43.95,37.24,23.1,20.19,9.24,9.45,0.188,0.9042,120.9
2507,51.31,28.49,24.12,24.53,15.33,21.34,0.1754,0.8817,126.77
2508,38.74,33.84,26.18,24.36,8.41,58.87,0.1035,0.908,119.44
2509,40.47,51.11,24.96,15.9,17.55,89.46,0.1187,0.8839,132.57
2510,41.06,41.69,31.57,29.53,14.82,98.38,0.1434,0.8568,135.94
2511,36.25,45.34,27.68,22.54,21.22,27.27,0.1897,0.8623,131.97
2512,30.23,29.39,27.32,18.04,16.31,69.16,0.1991,0.8162,99.0
2513,48.48,21.04,26.62,12.53,12.17,85.58,0.1152,0.8884,107.35
2514,41.23,38.57,31.24,23.5,10.81,20.97,0.1948,0.8693,126.36
2515,35.61,48.21,27.17,21.68,15.2,47.63,0.1342,0.8868,131.13
2516,64.04,26.69,19.56,16.3,15.87,93.5,0.1215,0.88,125.36
2517,39.98,38.42,30.19,20.44,13.73,44.37,0.1105,0.9085,129.68
2518,26.3,34.96,21.14,14.4,14.41,60.98,0.1097,0.9017,100.28
2519,45.24,18.0,27.87,14.53,12.75,45.28,0.1934,0.8389,99.32
2520,25.27,32.86,19.21,18.81,15.58,56.48,0.1381,0.8785,98.15
2521,43.73,37.53,16.69,19.11,13.64,93.66,0.1954,0.8069,105.46
2522,43.52,29.06,23.63,25.97,13.38,7.9,0.1506,0.9285,125.87
2523,51.04,54.18,33.32,20.01,11.48,23.23,0.1389,0.9038,153.69
2524,31.98,21.26,20.01,18.18,20.12,49.74,0.178,0.8482,94.61
2525,37.65,82.75,19.55,17.07,12.38,24.53,0.1463,0.8971,151.96
2526,39.45,34.95,21.44,21.07,17.17,56.05,0.152,0.8666,116.19
2527,46.93,32.41,15.32,10.01,14.27,16.05,0.1878,0.8844,105.19
2528,43.47,50.47,31.62,20.44,15.97,75.64,0.1767,0.8335,135.02
2529,44.15,19.24,34.37,26.91,14.84,59.1,0.179,0.8408,117.3
2530,49.75,87.02,24.14,24.01,13.5,40.6,0.1638,0.8674,172.1
2531,38.22,26.64,21.19,28.41,14.4,74.89,0.1162,0.8908,114.79
2532,51.7,49.91,22.61,17.21,11.97,83.85,0.1113,0.8927,136.93
2533,39.29,35.03,19.93,21.84,20.18,97.41,0.1748,0.8258,112.54
2534,47.16,23.29,25.5,19.34,14.12,90.53,0.1741,0.8293,107.32
2535,36.04,52.6,29.43,24.88,16.87,96.12,0.1456,0.8553,136.69
2536,44.76,43.25,33.54,19.61,17.14,72.13,0.136,0.8732,138.23
2537,49.27,118.57,21.11,24.28,16.51,14.93,0.1899,0.8859,203.52
2538,31.34,40.86,20.52,16.1,16.52,2.48,0.1347,0.9635,120.78
2539,47.55,27.17,28.0,19.41,11.35,45.64,0.1262,0.8947,119.42
2540,41.43,16.67,23.67,18.77,9.9,70.34,0.1742,0.8386,92.62
2541,56.31,25.99,24.68,24.89,9.47,33.41,0.1158,0.911,128.76
2542,37.89,38.78,23.58,16.03,11.97,70.77,0.1648,0.8471,108.64
2543,42.35,30.14,26.38,18.13,16.41,25.01,0.1802,0.8725,116.39
2544,38.75,47.5,27.57,19.23,22.92,50.63,0.1706,0.8539,133.18
2545,45.3,40.46,24.96,12.49,20.62,47.92,0.1334,0.8873,127.63
2546,22.53,21.25,21.41,18.79,19.25,70.8,0.1666,0.8454,87.27
2547,28.72,29.72,30.19,20.34,11.7,66.5,0.1433,0.8689,104.86
2548,45.35,24.76,24.22,26.24,18.12,44.18,0.148,0.8775,121.7
2549,40.21,40.18,32.12,18.72,15.39,21.0,0.1725,0.8842,129.63
2550,23.97,41.59,19.77,19.45,10.89,75.41,0.1643,0.8453,97.77
2551,34.93,27.52,22.53,17.72,20.12,66.17,0.1291,0.8821,108.33
2552,36.86,18.16,18.03,18.05,13.35,8.06,0.1246,0.9404,98.23
2553,36.12,107.8,28.54,18.78,20.34,47.56,0.1869,0.8424,178.24
2554,47.45,39.82,27.08,19.6,16.91,59.37,0.1849,0.8354,126.03
2555,50.05,39.78,27.78,21.29,13.43,91.39,0.1402,0.8622,131.35
2556,22.1,16.54,23.17,22.42,10.85,78.58,0.1865,0.8228,78.22
2557,39.04,46.76,28.87,18.43,15.89,7.0,0.1489,0.9328,138.97
2558,40.91,53.56,27.78,20.82,18.67,86.55,0.185,0.8204,132.69
2559,28.15,40.07,22.28,18.17,15.34,34.18,0.1182,0.9086,112.68
2560,50.02,36.93,34.58,17.07,18.08,89.74,0.1765,0.8272,129.6
2561,42.97,36.96,25.16,24.82,14.98,38.85,0.1412,0.8871,128.52
